Name,Start,End,Size
AddDmacHandler,0x00202370,0x00202380,16
AddDmacHandler2,0x00202380,0x00202390,16
RemoveDmacHandler,0x00202390,0x002023A0,16
_EnableIntc,0x002023A0,0x002023B0,16
_DisableIntc,0x002023B0,0x002023C0,16
_EnableDmac,0x002023C0,0x002023D0,16
_DisableDmac,0x002023D0,0x002023E0,16
SetAlarm,0x002023E0,0x002023F0,16
ReleaseAlarm,0x002023F0,0x00202400,16
_iEnableIntc,0x00202400,0x00202410,16
_iDisableIntc,0x00202410,0x00202420,16
_iEnableDmac,0x00202420,0x00202430,16
_iDisableDmac,0x00202430,0x00202440,16
iSetAlarm,0x00202440,0x00202450,16
iReleaseAlarm,0x00202450,0x00202460,16
CreateThread,0x00202460,0x00202470,16
DeleteThread,0x00202470,0x00202480,16
StartThread,0x00202480,0x00202490,16
ExitThread,0x00202490,0x002024A0,16
ExitDeleteThread,0x002024A0,0x002024B0,16
TerminateThread,0x002024B0,0x002024C0,16
iTerminateThread,0x002024C0,0x002024D0,16
DisableDispatchThread,0x002024D0,0x002024E0,16
EnableDispatchThread,0x002024E0,0x002024F0,16
ChangeThreadPriority,0x002024F0,0x00202500,16
iChangeThreadPriority,0x00202500,0x00202510,16
RotateThreadReadyQueue,0x00202510,0x00202520,16
_iRotateThreadReadyQueue,0x00202520,0x00202530,16
ReleaseWaitThread,0x00202530,0x00202540,16
iReleaseWaitThread,0x00202540,0x00202550,16
GetThreadId,0x00202550,0x00202560,16
ReferThreadStatus,0x00202560,0x00202570,16
iReferThreadStatus,0x00202570,0x00202580,16
SleepThread,0x00202580,0x00202590,16
WakeupThread,0x00202590,0x002025A0,16
_iWakeupThread,0x002025A0,0x002025B0,16
CancelWakeupThread,0x002025B0,0x002025C0,16
iCancelWakeupThread,0x002025C0,0x002025D0,16
SuspendThread,0x002025D0,0x002025E0,16
_iSuspendThread,0x002025E0,0x002025F0,16
ResumeThread,0x002025F0,0x00202600,16
iResumeThread,0x00202600,0x00202610,16
JoinThread,0x00202610,0x00202620,16
RFU060,0x00202620,0x00202630,16
RFU061,0x00202630,0x00202640,16
EndOfHeap,0x00202640,0x00202650,16
RFU063,0x00202650,0x00202660,16
CreateSema,0x00202660,0x00202670,16
DeleteSema,0x00202670,0x00202680,16
SignalSema,0x00202680,0x00202690,16
iSignalSema,0x00202690,0x002026A0,16
WaitSema,0x002026A0,0x002026B0,16
PollSema,0x002026B0,0x002026C0,16
iPollSema,0x002026C0,0x002026D0,16
ReferSemaStatus,0x002026D0,0x002026E0,16
iReferSemaStatus,0x002026E0,0x002026F0,16
RFU073,0x002026F0,0x00202700,16
SetOsdConfigParam,0x00202700,0x00202710,16
GetOsdConfigParam,0x00202710,0x00202720,16
GetGsHParam,0x00202720,0x00202730,16
GetGsVParam,0x00202730,0x00202740,16
SetGsHParam,0x00202740,0x00202750,16
SetGsVParam,0x00202750,0x00202760,16
RFU080_CreateEventFlag,0x00202760,0x00202770,16
RFU081_DeleteEventFlag,0x00202770,0x00202780,16
RFU082_SetEventFlag,0x00202780,0x00202790,16
RFU083_iSetEventFlag,0x00202790,0x002027A0,16
RFU084_ClearEventFlag,0x002027A0,0x002027B0,16
RFU085_iClearEventFlag,0x002027B0,0x002027C0,16
RFU086_WaitEvnetFlag,0x002027C0,0x002027D0,16
RFU087_PollEvnetFlag,0x002027D0,0x002027E0,16
RFU088_iPollEvnetFlag,0x002027E0,0x002027F0,16
RFU089_ReferEventFlagStatus,0x002027F0,0x00202800,16
RFU090_iReferEventFlagStatus,0x00202800,0x00202810,16
RFU091,0x00202810,0x00202820,16
EnableIntcHandler,0x00202820,0x00202830,16
iEnableIntcHandler,0x00202830,0x00202840,16
DisableIntcHandler,0x00202840,0x00202850,16
iDisableIntcHandler,0x00202850,0x00202860,16
EnableDmacHandler,0x00202860,0x00202870,16
iEnableDmacHandler,0x00202870,0x00202880,16
DisableDmacHandler,0x00202880,0x00202890,16
iDisableDmacHandler,0x00202890,0x002028A0,16
KSeg0,0x002028A0,0x002028B0,16
EnableCache,0x002028B0,0x002028C0,16
DisableCache,0x002028C0,0x002028D0,16
GetCop0,0x002028D0,0x002028E0,16
FlushCache,0x002028E0,0x002028F0,16
CpuConfig,0x002028F0,0x00202900,16
iGetCop0,0x00202900,0x00202910,16
iFlushCache,0x00202910,0x00202920,16
iCpuConfig,0x00202920,0x00202930,16
sceSifStopDma,0x00202930,0x00202940,16
SetCPUTimerHandler,0x00202940,0x00202950,16
SetCPUTimer,0x00202950,0x00202960,16
SetOsdConfigParam2,0x00202960,0x00202970,16
GetOsdConfigParam2,0x00202970,0x00202980,16
GsGetIMR,0x00202980,0x00202990,16
iGsGetIMR,0x00202990,0x002029A0,16
GsPutIMR,0x002029A0,0x002029B0,16
iGsPutIMR,0x002029B0,0x002029C0,16
SetPgifHandler,0x002029C0,0x002029D0,16
SetVSyncFlag,0x002029D0,0x002029E0,16
RFU116,0x002029E0,0x002029F0,16
_print,0x002029F0,0x00202A00,16
sceSifDmaStat,0x00202A00,0x00202A10,16
isceSifDmaStat,0x00202A10,0x00202A20,16
sceSifSetDma,0x00202A20,0x00202A30,16
isceSifSetDma,0x00202A30,0x00202A40,16
sceSifSetDChain,0x00202A40,0x00202A50,16
isceSifSetDChain,0x00202A50,0x00202A60,16
sceSifSetReg,0x00202A60,0x00202A70,16
sceSifGetReg,0x00202A70,0x00202A80,16
ExecOSD,0x00202A80,0x00202A90,16
Deci2Call,0x00202A90,0x00202AA0,16
PSMode,0x00202AA0,0x00202AB0,16
MachineType,0x00202AB0,0x00202AC0,16
GetMemorySize,0x00202AC0,0x00202AD0,16
sceResetttyinit,0x00202AD0,0x00202ADC,12
VSync,0x00202AE0,0x00202B20,64
VSync2,0x00202B20,0x00202B80,96
write,0x00202B80,0x00202BFC,124
read,0x00202C00,0x00202C74,116
open,0x00202C78,0x00202CA0,40
close,0x00202CA0,0x00202CA8,8
ioctl,0x00202CA8,0x00202CB0,8
lseek,0x00202CB0,0x00202CB8,8
sbrk,0x00202CB8,0x00202D64,128
isatty,0x00202D68,0x00202D70,8
fstat,0x00202D70,0x00202D84,20
getpid,0x00202D88,0x00202D90,8
kill,0x00202D90,0x00202DB8,40
stat,0x00202DB8,0x00202DE0,40
unlink,0x00202DE0,0x00202E08,40
_sceSDC,0x00202E08,0x00202EAC,164
SyncDCache,0x00202EB0,0x00202F2C,124
iSyncDCache,0x00202F30,0x00202F44,20
_sceIDC,0x00202F48,0x00202FEC,164
InvalidDCache,0x00202FF0,0x0020306C,124
iInvalidDCache,0x00203070,0x00203084,20
DisableIntc,0x00203088,0x002030F0,100
EnableIntc,0x002030F0,0x00203158,100
DisableDmac,0x00203158,0x002031C0,100
EnableDmac,0x002031C0,0x00203228,100
iEnableIntc,0x00203228,0x00203248,32
iDisableIntc,0x00203248,0x00203268,32
iEnableDmac,0x00203268,0x00203288,32
iDisableDmac,0x00203288,0x002032A8,32
setup,0x002032A8,0x002032B8,16
Copy,0x002032B8,0x002032C8,16
kCopy,0x002032C8,0x00203300,56
GetEntryAddress,0x00203300,0x00203310,16
InitAlarm,0x00203310,0x002033E4,148
topThread,0x002033E8,0x002034C0,216
InitThread,0x002034C0,0x00203594,212
iWakeupThread,0x00203598,0x0020362C,148
iRotateThreadReadyQueue,0x00203630,0x002036AC,124
iSuspendThread,0x002036B0,0x00203748,152
sceDeci2Open,0x00203748,0x0020378C,68
sceDeci2Close,0x00203790,0x002037B4,36
sceDeci2ReqSend,0x002037B8,0x002037E8,48
sceDeci2Poll,0x002037E8,0x0020380C,36
sceDeci2ExRecv,0x00203810,0x00203844,52
sceDeci2ExSend,0x00203848,0x0020387C,52
sceDeci2ExReqSend,0x00203880,0x002038B0,48
sceDeci2ExLock,0x002038B0,0x002038D4,36
sceDeci2ExUnLock,0x002038D8,0x002038FC,36
kputs,0x00203900,0x00203924,36
QueueInit,0x00203928,0x0020394C,36
QueuePeekWriteDone,0x00203950,0x0020398C,60
QueuePeekReadDone,0x00203990,0x002039CC,60
sceTtyHandler,0x002039D0,0x00203B64,400
sceTtyWrite,0x00203B68,0x00203BB4,76
FUN_00203c60,0x00203C60,0x00203C90,48
FUN_00203c94,0x00203C94,0x00203CB8,36
sceTtyRead,0x00203CB8,0x00203D88,208
sceTtyInit,0x00203D88,0x00203DA4,28
FUN_00203db0,0x00203DB0,0x00203E44,148
kputchar,0x00203E48,0x00203E80,56
deci2Putchar,0x00203E80,0x00203F30,176
serialPutchar,0x00203F30,0x00203F64,52
ftoi,0x00203F68,0x00203FF8,144
printfloat,0x00203FF8,0x00204160,352
_printf,0x00204160,0x002041E4,128
FUN_00204370,0x00204370,0x00204728,176
kprintf,0x00204728,0x00204760,56
scePrintf,0x00204760,0x002047C0,96
_set_sreg,0x002047C0,0x002047DC,28
_change_addr,0x002047E0,0x002047EC,12
sceSifGetSreg,0x002047F0,0x00204808,24
sceSifSetSreg,0x00204808,0x00204824,28
sceSifGetDataTable,0x00204828,0x00204834,12
sceSifInitCmd,0x00204838,0x00204858,32
sceSifExitCmd,0x00204AB8,0x00204AEC,52
sceSifSetCmdBuffer,0x00204AF0,0x00204B08,24
sceSifSetSysCmdBuffer,0x00204B08,0x00204B20,24
sceSifAddCmdHandler,0x00204B20,0x00204B4C,44
sceSifRemoveCmdHandler,0x00204B50,0x00204B78,40
_sceSifSendCmd,0x00204B78,0x00204CAC,308
sceSifSendCmd,0x00204CB0,0x00204CEC,60
isceSifSendCmd,0x00204CF0,0x00204D2C,60
_sceSifCmdIntrHdlr,0x00204D30,0x00204D44,20
FUN_00204e10,0x00204E10,0x00204E40,48
sceSifWriteBackDCache,0x00204E58,0x00204F04,172
sceSifInitRpc,0x00204F08,0x00204F20,24
FUN_00205024,0x00205024,0x002050A4,128
sceSifExitRpc,0x002050A8,0x002050CC,36
_sceRpcGetPacket,0x002050D0,0x002050E8,24
_sceRpcFreePacket,0x00205178,0x00205194,28
_sceRpcGetFPacket,0x00205198,0x002051C8,48
_sceRpcGetFPacket2,0x002051C8,0x00205200,56
FUN_00205200,0x00205200,0x00205208,8
_request_end,0x00205208,0x002052BC,180
_request_rdata,0x002052C0,0x00205320,96
sceSifGetOtherData,0x00205320,0x00205478,344
_search_svdata,0x00205478,0x002054C4,76
_request_bind,0x002054C8,0x00205578,176
sceSifBindRpc,0x00205578,0x00205640,200
FUN_00205640,0x00205640,0x00205648,8
FUN_00205670,0x00205670,0x002056B8,72
_request_call,0x002056B8,0x00205700,72
FUN_00205700,0x00205700,0x00205730,48
thunk_FUN_00406b30,0x00205730,0x00205738,8
FUN_00205738,0x00205738,0x00205744,12
sceSifCallRpc,0x00205748,0x00205780,56
FUN_00205780,0x00205780,0x002057C0,64
FUN_002057c0,0x002057C0,0x002058A0,224
FUN_002058a0,0x002058A0,0x002058AC,12
FUN_002058b8,0x002058B8,0x002058C0,8
FUN_002058c0,0x002058C0,0x002058E8,40
FUN_002058e8,0x002058E8,0x00205934,56
sceSifCheckStatRpc,0x00205938,0x00205974,48
FUN_00205960,0x00205960,0x0020596C,12
sceSifSetRpcQueue,0x00205978,0x00205988,16
FUN_00205988,0x00205988,0x00205994,12
FUN_002059a0,0x002059A0,0x002059E0,64
FUN_002059e0,0x002059E0,0x00205A00,32
FUN_00205a00,0x00205A00,0x00205A0C,12
sceSifRegisterRpc,0x00205A10,0x00205A20,16
FUN_00205a20,0x00205A20,0x00205A54,52
FUN_00205a70,0x00205A70,0x00205AA0,48
FUN_00205aa0,0x00205AA0,0x00205AD0,48
FUN_00205ad0,0x00205AD0,0x00205AE0,16
sceSifRemoveRpc,0x00205AE0,0x00205B00,32
FUN_00205b00,0x00205B00,0x00205B30,48
FUN_00205b30,0x00205B30,0x00205B50,32
FUN_00205b50,0x00205B50,0x00205B58,8
sceSifRemoveRpcQueue,0x00205B78,0x00205B90,24
FUN_00205b90,0x00205B90,0x00205BB0,32
FUN_00205bb0,0x00205BB0,0x00205BF0,64
sceSifGetNextRequest,0x00205C08,0x00205C20,24
FUN_00205c20,0x00205C20,0x00205C48,40
sceSifExecRequest,0x00205C60,0x00205C80,32
FUN_00205c80,0x00205C80,0x00205CD0,80
FUN_00205dc0,0x00205DC0,0x00205E24,100
sceSifRpcLoop,0x00205E28,0x00205E60,52
_sceFsIobSemaMK,0x00205E68,0x00205EC4,92
new_iob,0x00205EC8,0x00205F38,92
FUN_00205f10,0x00205F10,0x00205F1C,12
get_iob,0x00205F50,0x00205FA4,76
_sceFs_Rcv_Intr,0x00205FC0,0x00206044,132
FUN_00206060,0x00206060,0x00206070,16
FUN_002061b0,0x002061B0,0x002061E8,72
FUN_00206250,0x00206250,0x00206298,72
FUN_002062f8,0x002062F8,0x00206378,124
_sceFsSemInit,0x00206378,0x002063C4,76
_sceFsWaitS,0x002063C8,0x002063F4,44
_sceFsSigSema,0x002063F8,0x00206404,12
sceFsInit,0x00206408,0x00206434,44
_fs_version,0x002065A8,0x00206634,140
sceFsReset,0x00206638,0x0020665C,36
sceOpen,0x00206670,0x002066CC,92
sceClose,0x002068F8,0x0020692C,52
sceLseek,0x00206A78,0x00206ABC,68
sceRead,0x00206CB0,0x00206CFC,76
FUN_00206d00,0x00206D00,0x00206D60,96
FUN_00206d60,0x00206D60,0x00206F20,440
sceWrite,0x00206F20,0x00206F6C,76
sceIoctl,0x002071E0,0x0020722C,76
FUN_002073f8,0x002073F8,0x0020752C,236
sceIoctl2,0x00207530,0x00207584,84
_sceCallCode,0x00207708,0x00207748,64
sceRemove,0x002078B0,0x002078CC,28
sceMkdir,0x002078D0,0x00207910,64
sceRmdir,0x00207A80,0x00207A9C,28
sceFormat,0x00207AA0,0x00207AE8,72
sceAddDrv,0x00207D10,0x00207D3C,44
sceDelDrv,0x00207E30,0x00207E4C,28
sceDopen,0x00207E50,0x00207EEC,152
sceDclose,0x00207EF0,0x00207F24,52
sceDread,0x00208058,0x0020808C,52
sceGetstat,0x002081B0,0x002081F0,64
sceChstat,0x00208350,0x00208398,72
sceRename,0x00208590,0x002085CC,60
sceChdir,0x00208780,0x0020879C,28
sceSync,0x002087A0,0x002087DC,60
sceMount,0x00208938,0x00208988,80
sceUmount,0x00208BA8,0x00208BC4,28
sceLseek64,0x00208BC8,0x00208C0C,68
FUN_00208d68,0x00208D68,0x00208E00,152
sceDevctl,0x00208E00,0x00208E4C,76
sceSymlink,0x00209030,0x00209038,8
FUN_00209038,0x00209038,0x0020906C,52
FUN_002091e0,0x002091E0,0x00209210,48
sceReadlink,0x00209210,0x00209254,68
FUN_002092f0,0x002092F0,0x002093D8,232
sceSifInitIopHeap,0x002093D8,0x00209418,64
FUN_00209418,0x00209418,0x00209460,72
sceSifAllocIopHeap,0x00209460,0x002094D0,112
sceSifFreeIopHeap,0x002094D0,0x00209548,120
sceSifLoadIopHeap,0x00209548,0x00209638,240
_lf_bind,0x00209638,0x00209738,256
_lf_version,0x00209738,0x002097C4,140
sceSifLoadFileReset,0x002097C8,0x002097F0,40
_sceSifLoadModuleBuffer,0x00209800,0x00209A08,512
sceSifLoadModuleBuffer,0x00209A08,0x00209A24,28
sceSifLoadStartModuleBuffer,0x00209A28,0x00209A44,28
_sceSifLoadModule,0x00209A48,0x00209C6C,540
sceSifLoadModule,0x00209C70,0x00209C90,32
sceSifLoadStartModule,0x00209C90,0x00209CAC,28
_sceSifLoadElfPart,0x00209CB0,0x00209D38,136
FUN_00209d38,0x00209D38,0x00209DB4,124
sceSifLoadElfPart,0x00209DB8,0x00209DC0,8
FUN_00209dc0,0x00209DC0,0x00209DD4,20
sceSifLoadElf,0x00209DD8,0x00209E00,40
sceSifGetIopAddr,0x00209E00,0x00209EEC,236
sceSifSetIopAddr,0x00209EF0,0x00209F40,80
FUN_00209f40,0x00209F40,0x00209FCC,140
sceSifResetIop,0x00209FD0,0x0020A080,176
FUN_0020a080,0x0020A080,0x0020A0B0,48
FUN_0020a0b0,0x0020A0B0,0x0020A100,76
sceSifIsAliveIop,0x0020A100,0x0020A128,40
sceSifSyncIop,0x0020A128,0x0020A158,48
FUN_0020a158,0x0020A158,0x0020A170,20
sceSifRebootIop,0x0020A170,0x0020A208,144
FUN_0020a208,0x0020A208,0x0020A280,112
DIntr,0x0020A280,0x0020A2C8,36
EIntr,0x0020A2C8,0x0020A2D4,12
setup,0x0020A2E0,0x0020A2F0,16
InitSysCall,0x0020A2F0,0x0020A330,64
_InitSys,0x0020A330,0x0020A354,36
Set_effect_em10_00,0x0020A360,0x0020A36C,12
FUN_0020a3c0,0x0020A3C0,0x0020A44C,140
FUN_0020a4f8,0x0020A4F8,0x0020A550,88
FUN_0020a610,0x0020A610,0x0020A6FC,236
FUN_0020a778,0x0020A778,0x0020A780,8
FUN_0020a7e0,0x0020A7E0,0x0020A800,32
Set_effect_em10_01,0x0020A8B0,0x0020A8B4,4
FUN_0020a978,0x0020A978,0x0020A9B4,60
set_eff_2d_denki,0x0020AA30,0x0020AA34,4
FUN_0020aa48,0x0020AA48,0x0020AB58,272
FUN_0020ab90,0x0020AB90,0x0020AC9C,268
FUN_0020ad28,0x0020AD28,0x0020AD30,8
set_eff_light,0x0020AD30,0x0020AD3C,12
FUN_0020ad60,0x0020AD60,0x0020AE40,204
FUN_0020ae40,0x0020AE40,0x0020AEE0,160
set_eff_light_a,0x0020AF70,0x0020AF80,16
set_eff_light_sp,0x0020B1B0,0x0020B1B4,4
Effscr00_set,0x0020B3D0,0x0020B3D4,4
set_eff_BlackBall,0x0020B470,0x0020B478,8
set_eff_ColorBall,0x0020B690,0x0020B69C,12
FUN_0020b6f0,0x0020B6F0,0x0020B774,132
FUN_0020b790,0x0020B790,0x0020B848,184
set_eff_BlackBallChgSize,0x0020B8D0,0x0020B8D8,8
FUN_0020b980,0x0020B980,0x0020B9B0,48
FUN_0020b9b8,0x0020B9B8,0x0020BB14,92
set_eff_light2,0x0020BB40,0x0020BB44,4
FUN_0020bb50,0x0020BB50,0x0020BDC0,452
FUN_0020bc68,0x0020BC68,0x0020BCEC,132
set_eff_light3,0x0020BE70,0x0020BE78,8
set_eff_light2_blk,0x0020C1E0,0x0020C1E4,4
Set_effect_han_kemuri,0x0020C500,0x0020C510,16
Set_effect_room_kemuri,0x0020C750,0x0020C75C,12
Set_effect_room_kemuri2,0x0020C9C0,0x0020C9CC,12
Set_effect_nm_nebeneba,0x0020CC40,0x0020CC50,16
Set_effect_kaminari00,0x0020CE40,0x0020CE44,4
set_eff_denki_damage,0x0020CFE0,0x0020CFF0,16
FUN_0020d040,0x0020D040,0x0020D054,20
FUN_0020d0a0,0x0020D0A0,0x0020D0B0,16
Set_effect_hokori,0x0020D120,0x0020D12C,12
Set_effect_hahen,0x0020D2E0,0x0020D2F0,16
set_eff_fire_damage,0x0020D590,0x0020D598,8
set_eff_line,0x0020D750,0x0020D754,4
Set_effect_b_kaminari00,0x0020D880,0x0020D898,24
set_eff_SubBall,0x0020DA40,0x0020DA4C,12
FUN_0020db60,0x0020DB60,0x0020DC20,192
test_b_aura,0x0020DCB0,0x0020DCBC,12
set_eff_SaveEff,0x0020DF30,0x0020DF7C,76
set_eff_tentacle,0x0020DFB0,0x0020DFB4,4
FUN_0020dfe0,0x0020DFE0,0x0020E05C,124
set_eff_tentacle_reset,0x0020E140,0x0020E1A8,104
Set_effect_r203_denki00,0x0020E1B0,0x0020E1B4,4
FUN_0020e3d0,0x0020E3D0,0x0020E428,88
Set_effect_r203_denki01,0x0020E4B0,0x0020E4B4,4
Set_effect_r203_denki00_l,0x0020E7C0,0x0020E7C4,4
set_eff_sword_aura,0x0020EAC0,0x0020EAC8,8
Set_effect_w_denki00,0x0020ECC0,0x0020ECC4,4
eff_call_thunder,0x0020EF60,0x0020EF64,4
eff_call_thunder_del,0x0020EFD0,0x0020EFEC,28
eff_call_r401_thunder,0x0020F040,0x0020F048,8
R401_t_denki_atk,0x0020F0D0,0x0020F0D4,4
R401_t_denki_atk2,0x0020F190,0x0020F194,4
FUN_0020f230,0x0020F230,0x0020F234,4
SetEff_EM_DevilMode,0x0020F250,0x0020F25C,12
FUN_0020f3f0,0x0020F3F0,0x0020F46C,124
SetEff_EM02_DevilMode,0x0020F490,0x0020F498,8
SetEff_EM0D_DevilMode,0x0020F4A0,0x0020F4A8,8
SetEff_EM0E_DevilMode,0x0020F4B0,0x0020F4B8,8
SetEff_EM01_DevilMode,0x0020F4C0,0x0020F4C8,8
SetEff_EM09_DevilMode,0x0020F4D0,0x0020F4D8,8
SetEff_EM0A_DevilMode,0x0020F4E0,0x0020F4E8,8
SetEm1dLightDenki,0x0020F4F0,0x0020F4FC,12
FUN_0020f560,0x0020F560,0x0020F5B0,80
eff2d_03_init,0x0020F860,0x0020F864,4
eff2d_03_move,0x0020F970,0x0020F974,4
Eff2d_03,0x0020FE50,0x0020FE70,32
eff2d_04_init,0x0020FE70,0x0020FE98,40
eff2d_04_move,0x0020FEB0,0x0020FEB4,4
Eff2d_04,0x00210080,0x002100A0,32
eff2d_05_init,0x002100A0,0x002100D0,48
ChkHitPlane,0x002100E0,0x002100E8,8
eff2d_05_move,0x00210150,0x00210154,4
FUN_002105e0,0x002105E0,0x002105FC,28
FUN_00210810,0x00210810,0x00210868,88
Eff2d_05,0x00210880,0x002108A0,32
eff2d_06_init,0x002108A0,0x002108CC,44
eff2d_06_move,0x002108E0,0x002108E8,8
Eff2d_06,0x002108F0,0x00210910,32
eff2d_07_init,0x00210910,0x00210938,40
eff2d_07_type0_move,0x00210950,0x00210958,8
eff2d_07_type1_move,0x00210960,0x00210964,4
eff2d_07_type2_move,0x00210A70,0x00210AA0,48
eff2d_07_type3_move,0x00210AA0,0x00210AA4,4
eff2d_07_type4_move,0x00210B30,0x00210B34,4
eff2d_07_move,0x00210C10,0x00210C30,32
Eff2d_07,0x00210C30,0x00210C50,32
eff2d_0a_init_com,0x00210C50,0x00210C98,72
eff2d_0a_init_r3,0x00210CB0,0x00210CB8,8
eff2d_0a_init,0x00210DB0,0x00210DD0,32
eff2d_0a_move00,0x00210DD0,0x00210DD8,8
eff2d_0a_move01,0x00211510,0x00211514,4
FUN_00211520,0x00211520,0x00211528,8
eff2d_0a_move02,0x00211870,0x0021188C,28
eff2d_0a_move03,0x00211980,0x00211984,4
FUN_002119d0,0x002119D0,0x002119F0,32
FUN_00211a08,0x00211A08,0x00211A1C,20
FUN_00211a28,0x00211A28,0x00211A40,24
FUN_00211a40,0x00211A40,0x00211A78,56
eff2d_0a_com_move,0x00211AD0,0x00211AF0,32
Eff2d_0a,0x00211AF0,0x00211B10,32
eff2d_0f_init,0x00211B10,0x00211B38,40
eff2d_0f_move,0x00211B50,0x00211B58,8
Eff2d_0f,0x00211B60,0x00211B80,32
eff2d_11_init00,0x00211B80,0x00211BA8,40
FUN_00211bb0,0x00211BB0,0x00211BC4,20
eff2d_11_move10,0x00211BF0,0x00211CE0,172
FUN_00211c50,0x00211C50,0x00211C90,64
FUN_00211ce0,0x00211CE0,0x00211D7C,156
FUN_00211d90,0x00211D90,0x00211DAC,28
Eff2d_11,0x00211DC0,0x00211DE0,32
eff2d_13_init,0x00211DE0,0x00211DF0,16
FUN_00211df0,0x00211DF0,0x00211E28,56
eff2d_13_move00,0x00211E40,0x00211E50,16
FUN_00212078,0x00212078,0x0021208C,20
eff2d_13_move01,0x002122E0,0x00212354,116
FUN_00212480,0x00212480,0x002125D0,336
FUN_002125d0,0x002125D0,0x00212640,112
FUN_00212640,0x00212640,0x00212654,20
eff2d_13_move02,0x00212690,0x00212708,112
eff2d_13_move03,0x00212710,0x00212920,528
FUN_00212920,0x00212920,0x00212A84,356
eff2d_13_com_move,0x00212A90,0x00212AB0,32
Eff2d_13,0x00212AB0,0x00212AD0,32
eff2d_18_init00,0x00212AD0,0x00212AF8,40
eff2d_18_move10,0x00212B40,0x00212C24,228
Eff2d_18,0x00212C30,0x00212C50,32
get_need_cluster,0x00212C50,0x00212CA8,88
CardInit,0x00212CB0,0x00212CD4,36
ErrorSet,0x00212CE0,0x00212D08,40
Card_read,0x00212D10,0x00212D14,4
Card_write,0x00213070,0x00213074,4
CardInCheck,0x002133B0,0x0021347C,188
CardCheck,0x00213490,0x00213884,896
CardFileCheck,0x002138A0,0x002138A4,4
FUN_002139a0,0x002139A0,0x002139AC,12
FUN_00213ae0,0x00213AE0,0x00213BF8,64
FUN_00213df8,0x00213DF8,0x00213E00,8
FUN_00213e38,0x00213E38,0x00213EC8,136
FUN_00213ec8,0x00213EC8,0x00213EDC,20
FUN_00213f18,0x00213F18,0x00213F60,52
thunk_FUN_00214270,0x00213F60,0x00213F68,8
FUN_00213fe8,0x00213FE8,0x00213FF0,8
FUN_00214000,0x00214000,0x00214018,24
FUN_00214020,0x00214020,0x00214080,96
FUN_002140a0,0x002140A0,0x0021419C,224
FUN_00214228,0x00214228,0x00214230,8
FUN_00214230,0x00214230,0x0021423C,12
FUN_00214270,0x00214270,0x00214290,32
SaveDataSelect,0x002142B0,0x002142B4,4
FUN_00214390,0x00214390,0x00214398,8
FUN_002143a0,0x002143A0,0x00214490,204
thunk_FUN_002147ec,0x002143F0,0x002143F8,8
FUN_00214490,0x00214490,0x002144B0,32
FUN_00214500,0x00214500,0x002145BC,128
FUN_002147ec,0x002147EC,0x0021482C,52
IconSysMake,0x00214840,0x00214844,4
MakeCheckSum,0x00214990,0x00214A00,112
SaveDataMake,0x00214A00,0x00214A08,8
OverWriteCk,0x00214A90,0x00214A94,4
CardMakeDir,0x00214D20,0x00214E38,256
DataSaveMain,0x00214E50,0x00214E88,56
DataLoadMain,0x00215140,0x00215160,32
thunk_FUN_002151e4,0x00215160,0x0021516C,12
FUN_002151e4,0x002151E4,0x0021520C,40
CardFormat,0x00215220,0x00215224,4
FUN_00215270,0x00215270,0x00215274,4
FUN_002152f0,0x002152F0,0x002152F8,8
FUN_00215310,0x00215310,0x00215414,220
FUN_00215330,0x00215330,0x00215338,8
FUN_002154c0,0x002154C0,0x002154CC,12
FUN_00215520,0x00215520,0x00215544,36
FUN_002155d0,0x002155D0,0x002155D8,8
FUN_002155d8,0x002155D8,0x002155F4,28
CardError,0x00215610,0x002158F4,224
FUN_002157c0,0x002157C0,0x002157D8,24
CardDie,0x00215910,0x002159B0,116
CardScreenInit,0x002159C0,0x002159C8,8
FUN_00215a08,0x00215A08,0x00215A28,32
CardTrans,0x00215CE0,0x00215CE4,4
FUN_00216920,0x00216920,0x00216988,104
FUN_00216988,0x00216988,0x00216CF8,824
FUN_00216f30,0x00216F30,0x00217000,208
FUN_00217000,0x00217000,0x00217048,72
FUN_002170d0,0x002170D0,0x002171EC,284
FUN_00217540,0x00217540,0x002175A0,96
FUN_002177a0,0x002177A0,0x002177B0,16
FUN_002177b0,0x002177B0,0x002178C8,280
CardMesPrint,0x00217A80,0x00217B14,148
CardLoad,0x00217B30,0x00217B60,48
FUN_00217b70,0x00217B70,0x00217BCC,92
CardSave,0x00217BE0,0x00217C08,40
FUN_00217c60,0x00217C60,0x00217C84,72
DataFileSave,0x00217CA0,0x00217CA8,8
FUN_00217d50,0x00217D50,0x00217D58,8
DataFileLoad,0x00218090,0x00218094,4
get_info00,0x00218350,0x00218354,4
FUN_00218818,0x00218818,0x00218828,16
get_info10,0x00218AF0,0x00218AF4,4
get_info20,0x00218E30,0x00218EA4,116
get_info30,0x00218EC0,0x00218ECC,12
GetCardInfo,0x00219160,0x00219164,4
Em0c_dm_ck,0x00219360,0x0021936C,12
FUN_00219cb8,0x00219CB8,0x00219CDC,36
FUN_00219d78,0x00219D78,0x00219DAC,52
FUN_0021a050,0x0021A050,0x0021A0A0,80
FUN_0021a0e8,0x0021A0E8,0x0021A10C,36
FUN_0021a218,0x0021A218,0x0021A31C,240
Em0c_move,0x0021A530,0x0021A53C,12
